,Registration,Consultation,Pharmacy billing,Pharmacy,Billing,Injection,Xray,Scan,Dressing
Patient 12,"{'arrival': '07:42:59 AM', 'start': '08:40:29 AM', 'finish': '08:47:32 AM', 'wait': '0:57:30.014151'}","{'arrival': '08:47:32 AM', 'start': '10:06:27 AM', 'finish': '10:20:30 AM', 'wait': '1:18:55.718179'}","{'arrival': '10:20:30 AM', 'start': '10:24:29 AM', 'finish': '10:32:31 AM', 'wait': '0:03:59.080768'}","{'arrival': '10:32:31 AM', 'start': '10:32:31 AM', 'finish': '10:47:33 AM', 'wait': '0:00:00'}",,,,,
Patient 13,"{'arrival': '07:42:59 AM', 'start': '08:47:32 AM', 'finish': '08:54:36 AM', 'wait': '1:04:33.277931'}","{'arrival': '11:40:23 AM', 'start': '13:51:12 PM', 'finish': '14:05:14 PM', 'wait': '2:10:49.332123'}",,,"{'arrival': '10:34:31 AM', 'start': '10:40:33 AM', 'finish': '10:50:38 AM', 'wait': '0:06:01.362446'}",,"{'arrival': '10:50:38 AM', 'start': '11:19:19 AM', 'finish': '11:40:23 AM', 'wait': '0:28:41.657196'}",,
Patient 14,"{'arrival': '07:47:58 AM', 'start': '08:54:36 AM', 'finish': '09:01:37 AM', 'wait': '1:06:38.625655'}","{'arrival': '12:01:26 PM', 'start': '14:19:18 PM', 'finish': '14:33:18 PM', 'wait': '2:17:51.882886'}","{'arrival': '14:33:18 PM', 'start': '14:33:18 PM', 'finish': '14:41:20 PM', 'wait': '0:00:00'}","{'arrival': '14:41:20 PM', 'start': '14:41:20 PM', 'finish': '14:56:24 PM', 'wait': '0:00:00'}","{'arrival': '10:48:33 AM', 'start': '10:50:38 AM', 'finish': '11:00:38 AM', 'wait': '0:02:04.929073'}",,"{'arrival': '11:00:38 AM', 'start': '11:40:23 AM', 'finish': '12:01:26 PM', 'wait': '0:39:45.549117'}",,
Patient 16,"{'arrival': '07:48:58 AM', 'start': '09:01:37 AM', 'finish': '09:08:40 AM', 'wait': '1:12:39.787661'}","{'arrival': '09:08:40 AM', 'start': '10:48:33 AM', 'finish': '11:02:37 AM', 'wait': '1:39:52.801796'}","{'arrival': '11:02:37 AM', 'start': '11:02:37 AM', 'finish': '11:10:37 AM', 'wait': '0:00:00'}","{'arrival': '11:10:37 AM', 'start': '11:10:37 AM', 'finish': '11:25:42 AM', 'wait': '0:00:00'}",,,,,
Patient 18,"{'arrival': '08:01:57 AM', 'start': '09:08:40 AM', 'finish': '09:15:44 AM', 'wait': '1:06:43.315259'}","{'arrival': '09:15:44 AM', 'start': '11:02:37 AM', 'finish': '11:16:40 AM', 'wait': '1:46:53.520992'}","{'arrival': '11:16:40 AM', 'start': '11:16:40 AM', 'finish': '11:24:41 AM', 'wait': '0:00:00'}","{'arrival': '11:24:41 AM', 'start': '11:25:42 AM', 'finish': '11:40:45 AM', 'wait': '0:01:00.352090'}",,,,,
Patient 20,"{'arrival': '08:07:57 AM', 'start': '09:15:44 AM', 'finish': '09:22:47 AM', 'wait': '1:07:47.175992'}","{'arrival': '09:22:47 AM', 'start': '11:16:40 AM', 'finish': '11:30:45 AM', 'wait': '1:53:52.777162'}",,,"{'arrival': '11:30:45 AM', 'start': '11:30:45 AM', 'finish': '11:40:49 AM', 'wait': '0:00:00'}",,,,"{'arrival': '11:40:49 AM', 'start': '11:40:49 AM', 'finish': '11:55:49 AM', 'wait': '0:00:00'}"
Patient 22,"{'arrival': '08:19:57 AM', 'start': '09:22:47 AM', 'finish': '09:29:50 AM', 'wait': '1:02:50.646070'}","{'arrival': '12:43:30 PM', 'start': '14:47:22 PM', 'finish': '15:01:25 PM', 'wait': '2:03:51.989215'}","{'arrival': '15:01:25 PM', 'start': '15:01:25 PM', 'finish': '15:09:28 PM', 'wait': '0:00:00'}","{'arrival': '15:09:28 PM', 'start': '15:09:28 PM', 'finish': '15:24:30 PM', 'wait': '0:00:00'}","{'arrival': '11:44:49 AM', 'start': '11:44:49 AM', 'finish': '11:54:52 AM', 'wait': '0:00:00'}",,"{'arrival': '11:54:52 AM', 'start': '12:22:29 PM', 'finish': '12:43:30 PM', 'wait': '0:27:36.763597'}",,"{'arrival': '15:24:30 PM', 'start': '15:24:30 PM', 'finish': '15:39:35 PM', 'wait': '0:00:00'}"
Patient 23,"{'arrival': '08:49:56 AM', 'start': '09:29:50 AM', 'finish': '09:36:51 AM', 'wait': '0:39:54.616400'}","{'arrival': '09:36:51 AM', 'start': '11:44:49 AM', 'finish': '11:58:52 AM', 'wait': '2:07:57.911985'}","{'arrival': '11:58:52 AM', 'start': '11:58:52 AM', 'finish': '12:06:56 PM', 'wait': '0:00:00'}","{'arrival': '12:06:56 PM', 'start': '12:06:56 PM', 'finish': '12:21:57 PM', 'wait': '0:00:00'}",,,,,
Patient 25,"{'arrival': '09:02:56 AM', 'start': '09:36:51 AM', 'finish': '09:43:54 AM', 'wait': '0:33:55.755466'}","{'arrival': '09:43:54 AM', 'start': '11:58:52 AM', 'finish': '12:12:56 PM', 'wait': '2:14:58.008416'}","{'arrival': '12:12:56 PM', 'start': '12:12:56 PM', 'finish': '12:21:01 PM', 'wait': '0:00:00'}","{'arrival': '12:21:01 PM', 'start': '12:21:57 PM', 'finish': '12:37:01 PM', 'wait': '0:00:56.420806'}",,,,,
Patient 29,"{'arrival': '09:45:56 AM', 'start': '09:45:56 AM', 'finish': '09:52:58 AM', 'wait': '0:00:00'}","{'arrival': '09:52:58 AM', 'start': '12:12:56 PM', 'finish': '12:27:00 PM', 'wait': '2:19:58.683985'}",,,"{'arrival': '12:27:00 PM', 'start': '12:27:00 PM', 'finish': '12:37:02 PM', 'wait': '0:00:00'}","{'arrival': '12:37:02 PM', 'start': '12:37:02 PM', 'finish': '12:48:06 PM', 'wait': '0:00:00'}",,,
Patient 32,"{'arrival': '10:09:56 AM', 'start': '10:09:56 AM', 'finish': '10:16:56 AM', 'wait': '0:00:00'}","{'arrival': '10:16:56 AM', 'start': '12:27:00 PM', 'finish': '12:41:00 PM', 'wait': '2:10:03.844049'}","{'arrival': '12:41:00 PM', 'start': '12:41:00 PM', 'finish': '12:49:03 PM', 'wait': '0:00:00'}","{'arrival': '12:49:03 PM', 'start': '12:49:03 PM', 'finish': '13:04:05 PM', 'wait': '0:00:00'}",,,,,"{'arrival': '13:04:05 PM', 'start': '13:04:05 PM', 'finish': '13:19:05 PM', 'wait': '0:00:00'}"
Patient 33,"{'arrival': '10:33:56 AM', 'start': '10:33:56 AM', 'finish': '10:40:58 AM', 'wait': '0:00:00'}","{'arrival': '10:40:58 AM', 'start': '12:41:00 PM', 'finish': '12:55:00 PM', 'wait': '2:00:02.681751'}","{'arrival': '13:26:06 PM', 'start': '13:31:10 PM', 'finish': '13:39:14 PM', 'wait': '0:05:04.209653'}","{'arrival': '13:39:14 PM', 'start': '13:47:10 PM', 'finish': '14:02:15 PM', 'wait': '0:07:56.027918'}","{'arrival': '12:55:00 PM', 'start': '12:55:00 PM', 'finish': '13:05:01 PM', 'wait': '0:00:00'}",,"{'arrival': '13:05:01 PM', 'start': '13:05:01 PM', 'finish': '13:26:06 PM', 'wait': '0:00:00'}",,
Patient 34,"{'arrival': '10:34:56 AM', 'start': '10:40:58 AM', 'finish': '10:47:59 AM', 'wait': '0:06:02.231997'}","{'arrival': '10:47:59 AM', 'start': '12:55:00 PM', 'finish': '13:09:05 PM', 'wait': '2:07:01.027444'}","{'arrival': '13:09:05 PM', 'start': '13:09:05 PM', 'finish': '13:17:07 PM', 'wait': '0:00:00'}","{'arrival': '13:17:07 PM', 'start': '13:17:07 PM', 'finish': '13:32:10 PM', 'wait': '0:00:00'}",,,,,"{'arrival': '13:32:10 PM', 'start': '13:32:10 PM', 'finish': '13:47:13 PM', 'wait': '0:00:00'}"
Patient 37,"{'arrival': '11:19:56 AM', 'start': '11:19:56 AM', 'finish': '11:26:58 AM', 'wait': '0:00:00'}","{'arrival': '11:26:58 AM', 'start': '13:23:08 PM', 'finish': '13:37:10 PM', 'wait': '1:56:10.190799'}",,,,,,,
Patient 38,"{'arrival': '11:27:56 AM', 'start': '11:27:56 AM', 'finish': '11:34:58 AM', 'wait': '0:00:00'}","{'arrival': '11:34:58 AM', 'start': '13:37:10 PM', 'finish': '13:51:12 PM', 'wait': '2:02:12.545656'}",,,,,,,
Patient 39,"{'arrival': '11:52:55 AM', 'start': '11:52:55 AM', 'finish': '11:59:59 AM', 'wait': '0:00:00'}","{'arrival': '14:50:25 PM', 'start': '16:53:43 PM', 'finish': '17:07:45 PM', 'wait': '2:03:17.289592'}",,,"{'arrival': '14:19:18 PM', 'start': '14:19:18 PM', 'finish': '14:29:21 PM', 'wait': '0:00:00'}",,"{'arrival': '14:29:21 PM', 'start': '14:29:21 PM', 'finish': '14:50:25 PM', 'wait': '0:00:00'}",,
Patient 40,"{'arrival': '12:25:54 PM', 'start': '12:25:54 PM', 'finish': '12:32:58 PM', 'wait': '0:00:00'}","{'arrival': '12:32:58 PM', 'start': '14:33:18 PM', 'finish': '14:47:22 PM', 'wait': '2:00:20.725266'}",,,,,,,
Patient 41,"{'arrival': '12:47:53 PM', 'start': '12:47:53 PM', 'finish': '12:54:55 PM', 'wait': '0:00:00'}","{'arrival': '12:54:55 PM', 'start': '15:01:25 PM', 'finish': '15:15:25 PM', 'wait': '2:06:29.628189'}",,,"{'arrival': '15:15:25 PM', 'start': '15:15:50 PM', 'finish': '15:25:54 PM', 'wait': '0:00:24.395134'}",,"{'arrival': '15:25:54 PM', 'start': '15:39:51 PM', 'finish': '16:00:52 PM', 'wait': '0:13:56.742466'}",,
Patient 43,"{'arrival': '13:27:53 PM', 'start': '13:27:53 PM', 'finish': '13:34:53 PM', 'wait': '0:00:00'}","{'arrival': '13:34:53 PM', 'start': '15:15:25 PM', 'finish': '15:29:30 PM', 'wait': '1:40:31.973715'}","{'arrival': '15:29:30 PM', 'start': '15:29:30 PM', 'finish': '15:37:35 PM', 'wait': '0:00:00'}","{'arrival': '15:37:35 PM', 'start': '15:37:35 PM', 'finish': '15:52:39 PM', 'wait': '0:00:00'}",,,,,
Patient 45,"{'arrival': '13:42:52 PM', 'start': '13:42:52 PM', 'finish': '13:49:52 PM', 'wait': '0:00:00'}","{'arrival': '13:49:52 PM', 'start': '15:29:30 PM', 'finish': '15:43:31 PM', 'wait': '1:39:37.663471'}",,,,,,,
Patient 46,"{'arrival': '13:55:52 PM', 'start': '13:55:52 PM', 'finish': '14:02:52 PM', 'wait': '0:00:00'}","{'arrival': '14:02:52 PM', 'start': '15:43:31 PM', 'finish': '15:57:32 PM', 'wait': '1:40:38.692479'}","{'arrival': '15:57:32 PM', 'start': '15:57:51 PM', 'finish': '16:05:54 PM', 'wait': '0:00:19.562687'}","{'arrival': '16:05:54 PM', 'start': '16:05:54 PM', 'finish': '16:20:58 PM', 'wait': '0:00:00'}",,,,,
Patient 47,"{'arrival': '14:07:52 PM', 'start': '14:07:52 PM', 'finish': '14:14:55 PM', 'wait': '0:00:00'}","{'arrival': '14:14:55 PM', 'start': '15:57:32 PM', 'finish': '16:11:36 PM', 'wait': '1:42:36.405665'}",,,"{'arrival': '16:11:36 PM', 'start': '16:11:36 PM', 'finish': '16:21:37 PM', 'wait': '0:00:00'}","{'arrival': '16:21:37 PM', 'start': '16:21:37 PM', 'finish': '16:32:41 PM', 'wait': '0:00:00'}",,,
Patient 48,"{'arrival': '14:19:51 PM', 'start': '14:19:51 PM', 'finish': '14:26:51 PM', 'wait': '0:00:00'}","{'arrival': '14:26:51 PM', 'start': '16:11:36 PM', 'finish': '16:25:38 PM', 'wait': '1:44:44.907395'}","{'arrival': '16:25:38 PM', 'start': '16:25:38 PM', 'finish': '16:33:40 PM', 'wait': '0:00:00'}","{'arrival': '16:33:40 PM', 'start': '16:33:40 PM', 'finish': '16:48:44 PM', 'wait': '0:00:00'}",,,,,
Patient 49,"{'arrival': '14:27:50 PM', 'start': '14:27:50 PM', 'finish': '14:34:52 PM', 'wait': '0:00:00'}","{'arrival': '17:10:50 PM', 'start': '18:31:56 PM', 'finish': '18:45:59 PM', 'wait': '1:21:06.202586'}",,,"{'arrival': '16:39:41 PM', 'start': '16:39:41 PM', 'finish': '16:49:46 PM', 'wait': '0:00:00'}",,"{'arrival': '16:49:46 PM', 'start': '16:49:46 PM', 'finish': '17:10:50 PM', 'wait': '0:00:00'}",,
Patient 50,"{'arrival': '14:37:50 PM', 'start': '14:37:50 PM', 'finish': '14:44:52 PM', 'wait': '0:00:00'}","{'arrival': '14:44:52 PM', 'start': '16:39:41 PM', 'finish': '16:53:43 PM', 'wait': '1:54:49.279430'}",,,"{'arrival': '16:53:43 PM', 'start': '16:53:43 PM', 'finish': '17:03:47 PM', 'wait': '0:00:00'}",,,,"{'arrival': '17:03:47 PM', 'start': '17:03:47 PM', 'finish': '17:18:52 PM', 'wait': '0:00:00'}"
Patient 53,"{'arrival': '15:27:48 PM', 'start': '15:27:48 PM', 'finish': '15:34:51 PM', 'wait': '0:00:00'}",,,,,,,,
Patient 56,"{'arrival': '15:57:47 PM', 'start': '15:57:47 PM', 'finish': '16:04:50 PM', 'wait': '0:00:00'}","{'arrival': '16:04:50 PM', 'start': '17:21:46 PM', 'finish': '17:35:48 PM', 'wait': '1:16:56.000217'}","{'arrival': '18:09:48 PM', 'start': '18:15:56 PM', 'finish': '18:24:01 PM', 'wait': '0:06:07.777571'}","{'arrival': '18:24:01 PM', 'start': '18:24:01 PM', 'finish': '18:39:03 PM', 'wait': '0:00:00'}","{'arrival': '17:35:48 PM', 'start': '17:35:48 PM', 'finish': '17:45:50 PM', 'wait': '0:00:00'}",,"{'arrival': '17:45:50 PM', 'start': '17:48:48 PM', 'finish': '18:09:48 PM', 'wait': '0:02:57.869515'}",,
Patient 57,"{'arrival': '16:14:47 PM', 'start': '16:14:47 PM', 'finish': '16:21:50 PM', 'wait': '0:00:00'}","{'arrival': '16:21:50 PM', 'start': '17:35:48 PM', 'finish': '17:49:52 PM', 'wait': '1:13:58.518193'}",,,"{'arrival': '17:49:52 PM', 'start': '17:55:51 PM', 'finish': '18:05:53 PM', 'wait': '0:05:59.243411'}","{'arrival': '18:05:53 PM', 'start': '18:05:53 PM', 'finish': '18:16:55 PM', 'wait': '0:00:00'}",,,
Patient 58,"{'arrival': '16:25:47 PM', 'start': '16:25:47 PM', 'finish': '16:32:47 PM', 'wait': '0:00:00'}","{'arrival': '16:32:47 PM', 'start': '17:49:52 PM', 'finish': '18:03:52 PM', 'wait': '1:17:04.296254'}",,,"{'arrival': '18:03:52 PM', 'start': '18:05:53 PM', 'finish': '18:15:56 PM', 'wait': '0:02:00.888348'}",,"{'arrival': '18:15:56 PM', 'start': '18:30:50 PM', 'finish': '18:51:54 PM', 'wait': '0:14:53.510976'}",,
Patient 59,"{'arrival': '16:27:46 PM', 'start': '16:32:47 PM', 'finish': '16:39:48 PM', 'wait': '0:05:01.795975'}",,,,,,,,
Patient 60,"{'arrival': '16:27:46 PM', 'start': '16:39:48 PM', 'finish': '16:46:52 PM', 'wait': '0:12:02.024781'}","{'arrival': '16:46:52 PM', 'start': '18:03:52 PM', 'finish': '18:17:56 PM', 'wait': '1:16:59.645048'}","{'arrival': '18:17:56 PM', 'start': '18:24:01 PM', 'finish': '18:32:01 PM', 'wait': '0:06:05.173199'}","{'arrival': '18:32:01 PM', 'start': '18:39:03 PM', 'finish': '18:54:03 PM', 'wait': '0:07:01.067059'}",,,,,
Patient 61,"{'arrival': '16:59:45 PM', 'start': '16:59:45 PM', 'finish': '17:06:48 PM', 'wait': '0:00:00'}","{'arrival': '17:06:48 PM', 'start': '18:17:56 PM', 'finish': '18:31:56 PM', 'wait': '1:11:07.200885'}",,,"{'arrival': '18:31:56 PM', 'start': '18:32:01 PM', 'finish': '18:42:06 PM', 'wait': '0:00:05.632423'}",,"{'arrival': '18:42:06 PM', 'start': '18:51:54 PM', 'finish': '19:12:57 PM', 'wait': '0:09:48.697894'}",,
Patient 62,"{'arrival': '17:07:45 PM', 'start': '17:07:45 PM', 'finish': '17:14:48 PM', 'wait': '0:00:00'}","{'arrival': '17:14:48 PM', 'start': '18:45:59 PM', 'finish': '19:00:03 PM', 'wait': '1:31:10.954346'}",,,,,,,
Patient 63,"{'arrival': '17:27:45 PM', 'start': '17:27:45 PM', 'finish': '17:34:47 PM', 'wait': '0:00:00'}","{'arrival': '17:34:47 PM', 'start': '19:00:03 PM', 'finish': '19:14:08 PM', 'wait': '1:25:16.351848'}",,,,,,,
Patient 66,"{'arrival': '17:37:45 PM', 'start': '17:37:45 PM', 'finish': '17:44:49 PM', 'wait': '0:00:00'}","{'arrival': '17:44:49 PM', 'start': '19:14:08 PM', 'finish': '19:28:12 PM', 'wait': '1:29:18.662521'}",,,,,,,
Patient 31,,"{'arrival': '10:58:15 AM', 'start': '13:09:05 PM', 'finish': '13:23:08 PM', 'wait': '2:10:49.695030'}","{'arrival': '13:23:08 PM', 'start': '13:23:08 PM', 'finish': '13:31:10 PM', 'wait': '0:00:00'}","{'arrival': '13:31:10 PM', 'start': '13:32:10 PM', 'finish': '13:47:10 PM', 'wait': '0:00:59.262186'}","{'arrival': '10:08:56 AM', 'start': '10:14:29 AM', 'finish': '10:24:29 AM', 'wait': '0:05:33.185880'}",,"{'arrival': '10:24:29 AM', 'start': '10:37:11 AM', 'finish': '10:58:15 AM', 'wait': '0:12:42.436544'}",,
Patient 52,,"{'arrival': '15:39:51 PM', 'start': '17:07:45 PM', 'finish': '17:21:46 PM', 'wait': '1:27:54.284556'}","{'arrival': '17:21:46 PM', 'start': '17:21:46 PM', 'finish': '17:29:49 PM', 'wait': '0:00:00'}","{'arrival': '17:29:49 PM', 'start': '17:29:49 PM', 'finish': '17:44:51 PM', 'wait': '0:00:00'}","{'arrival': '15:05:48 PM', 'start': '15:05:48 PM', 'finish': '15:15:50 PM', 'wait': '0:00:00'}",,"{'arrival': '15:15:50 PM', 'start': '15:18:49 PM', 'finish': '15:39:51 PM', 'wait': '0:02:59.395504'}",,
Patient 7,,,,,"{'arrival': '07:33:00 AM', 'start': '07:33:00 AM', 'finish': '07:43:03 AM', 'wait': '0:00:00'}",,"{'arrival': '07:43:03 AM', 'start': '08:00:03 AM', 'finish': '08:21:06 AM', 'wait': '0:17:00'}",,
Patient 10,,,,,"{'arrival': '07:39:59 AM', 'start': '07:43:03 AM', 'finish': '07:53:04 AM', 'wait': '0:03:04.992125'}",,,"{'arrival': '07:53:04 AM', 'start': '08:00:04 AM', 'finish': '08:28:08 AM', 'wait': '0:07:00'}",
Patient 15,,,,,"{'arrival': '07:47:58 AM', 'start': '07:53:04 AM', 'finish': '08:03:06 AM', 'wait': '0:05:06.911395'}",,,"{'arrival': '08:03:06 AM', 'start': '08:28:08 AM', 'finish': '08:56:11 AM', 'wait': '0:25:01.535171'}",
Patient 17,,,,,"{'arrival': '07:55:57 AM', 'start': '08:03:06 AM', 'finish': '08:13:10 AM', 'wait': '0:07:09.543659'}",,,"{'arrival': '08:13:10 AM', 'start': '08:56:11 AM', 'finish': '09:24:13 AM', 'wait': '0:43:01.607421'}",
Patient 24,,,,,"{'arrival': '08:55:56 AM', 'start': '08:55:56 AM', 'finish': '09:05:58 AM', 'wait': '0:00:00'}",,,"{'arrival': '09:05:58 AM', 'start': '09:24:13 AM', 'finish': '09:52:17 AM', 'wait': '0:18:14.251949'}",
Patient 27,,,,,"{'arrival': '09:16:56 AM', 'start': '09:24:04 AM', 'finish': '09:34:06 AM', 'wait': '0:07:08.534590'}",,"{'arrival': '09:34:06 AM', 'start': '09:34:06 AM', 'finish': '09:55:08 AM', 'wait': '0:00:00'}",,
Patient 28,,,,,"{'arrival': '09:21:56 AM', 'start': '09:34:06 AM', 'finish': '09:44:08 AM', 'wait': '0:12:10.449119'}",,"{'arrival': '09:44:08 AM', 'start': '09:55:08 AM', 'finish': '10:16:09 AM', 'wait': '0:11:00.777602'}",,
Patient 55,,,,,"{'arrival': '15:47:47 PM', 'start': '15:47:47 PM', 'finish': '15:57:51 PM', 'wait': '0:00:00'}",,"{'arrival': '15:57:51 PM', 'start': '16:21:55 PM', 'finish': '16:43:00 PM', 'wait': '0:24:04.181325'}",,
Patient 65,,,,,"{'arrival': '17:37:45 PM', 'start': '17:45:50 PM', 'finish': '17:55:51 PM', 'wait': '0:08:05.414390'}",,"{'arrival': '17:55:51 PM', 'start': '18:09:48 PM', 'finish': '18:30:50 PM', 'wait': '0:13:57.390960'}",,
Patient 19,,,,,,,"{'arrival': '08:04:57 AM', 'start': '08:21:06 AM', 'finish': '08:42:08 AM', 'wait': '0:16:09.979790'}",,
Patient 21,,,,,,,"{'arrival': '08:16:57 AM', 'start': '08:42:08 AM', 'finish': '09:03:09 AM', 'wait': '0:25:11.841287'}",,
Patient 26,,,,,,,"{'arrival': '09:06:56 AM', 'start': '09:06:56 AM', 'finish': '09:27:58 AM', 'wait': '0:00:00'}",,
Patient 30,,,,,,,"{'arrival': '09:56:56 AM', 'start': '10:16:09 AM', 'finish': '10:37:11 AM', 'wait': '0:19:13.149924'}",,
Patient 35,,,,,,,"{'arrival': '10:40:56 AM', 'start': '10:58:15 AM', 'finish': '11:19:19 AM', 'wait': '0:17:19.559028'}",,
Patient 36,,,,,,,"{'arrival': '11:07:56 AM', 'start': '12:01:26 PM', 'finish': '12:22:29 PM', 'wait': '0:53:30.584618'}",,
Patient 42,,,,,,,"{'arrival': '13:05:53 PM', 'start': '13:26:06 PM', 'finish': '13:47:08 PM', 'wait': '0:20:13.547791'}",,
Patient 44,,,,,,,"{'arrival': '13:42:52 PM', 'start': '13:47:08 PM', 'finish': '14:08:09 PM', 'wait': '0:04:16.916282'}",,
Patient 51,,,,,,,"{'arrival': '14:57:49 PM', 'start': '14:57:49 PM', 'finish': '15:18:49 PM', 'wait': '0:00:00'}",,
Patient 54,,,,,,,"{'arrival': '15:30:48 PM', 'start': '16:00:52 PM', 'finish': '16:21:55 PM', 'wait': '0:30:04.346680'}",,
Patient 64,,,,,,,"{'arrival': '17:27:45 PM', 'start': '17:27:45 PM', 'finish': '17:48:48 PM', 'wait': '0:00:00'}",,
