,Registration,Consultation,Billing,Xray,Pharmacy,Dressing,Injection,Scan
Patient 14,"{'arrival': '07:47:58 AM', 'start': '08:40:23 AM', 'finish': '08:47:26 AM', 'wait': '0:52:25.351242'}","{'arrival': '08:47:26 AM', 'start': '10:06:29 AM', 'finish': '10:20:31 AM', 'wait': '1:19:03.099189'}","{'arrival': '10:20:31 AM', 'start': '10:37:36 AM', 'finish': '10:47:37 AM', 'wait': '0:17:04.979245'}",,,"{'arrival': '10:47:37 AM', 'start': '10:52:39 AM', 'finish': '11:07:40 AM', 'wait': '0:05:01.598834'}",,
Patient 15,"{'arrival': '07:47:58 AM', 'start': '08:47:26 AM', 'finish': '08:54:29 AM', 'wait': '0:59:28.696744'}","{'arrival': '08:54:29 AM', 'start': '10:20:31 AM', 'finish': '10:34:35 AM', 'wait': '1:26:02.327816'}","{'arrival': '10:34:35 AM', 'start': '10:47:37 AM', 'finish': '10:57:40 AM', 'wait': '0:13:02.594702'}","{'arrival': '10:57:40 AM', 'start': '10:57:40 AM', 'finish': '11:18:44 AM', 'wait': '0:00:00'}",,,,
Patient 16,"{'arrival': '07:48:58 AM', 'start': '08:54:29 AM', 'finish': '09:01:33 AM', 'wait': '1:05:31.585138'}","{'arrival': '09:01:33 AM', 'start': '10:34:35 AM', 'finish': '10:48:38 AM', 'wait': '1:33:01.554483'}","{'arrival': '10:48:38 AM', 'start': '10:57:40 AM', 'finish': '11:07:42 AM', 'wait': '0:09:01.516457'}",,"{'arrival': '11:07:42 AM', 'start': '11:07:42 AM', 'finish': '11:22:46 AM', 'wait': '0:00:00'}","{'arrival': '11:22:46 AM', 'start': '11:22:46 AM', 'finish': '11:37:46 AM', 'wait': '0:00:00'}",,
Patient 18,"{'arrival': '08:01:57 AM', 'start': '09:01:33 AM', 'finish': '09:08:37 AM', 'wait': '0:59:36.573474'}","{'arrival': '09:08:37 AM', 'start': '11:02:40 AM', 'finish': '11:16:41 AM', 'wait': '1:54:03.523935'}","{'arrival': '11:16:41 AM', 'start': '11:27:47 AM', 'finish': '11:37:51 AM', 'wait': '0:11:05.906032'}","{'arrival': '11:37:51 AM', 'start': '12:01:58 PM', 'finish': '12:23:03 PM', 'wait': '0:24:07.037095'}",,,,
Patient 20,"{'arrival': '08:07:57 AM', 'start': '09:08:37 AM', 'finish': '09:15:39 AM', 'wait': '1:00:40.107416'}","{'arrival': '12:44:06 PM', 'start': '14:19:15 PM', 'finish': '14:33:15 PM', 'wait': '1:35:09.342993'}","{'arrival': '14:33:15 PM', 'start': '14:47:30 PM', 'finish': '14:57:34 PM', 'wait': '0:14:14.813071'}","{'arrival': '11:47:53 AM', 'start': '12:23:03 PM', 'finish': '12:44:06 PM', 'wait': '0:35:09.492784'}","{'arrival': '14:57:34 PM', 'start': '14:57:34 PM', 'finish': '15:12:36 PM', 'wait': '0:00:00'}","{'arrival': '15:12:36 PM', 'start': '15:12:36 PM', 'finish': '15:27:36 PM', 'wait': '0:00:00'}",,
Patient 22,"{'arrival': '08:19:57 AM', 'start': '09:15:39 AM', 'finish': '09:22:42 AM', 'wait': '0:55:42.607250'}","{'arrival': '09:22:42 AM', 'start': '11:30:42 AM', 'finish': '11:44:47 AM', 'wait': '2:07:59.807144'}","{'arrival': '11:44:47 AM', 'start': '11:47:53 AM', 'finish': '11:57:54 AM', 'wait': '0:03:06.282975'}",,"{'arrival': '11:57:54 AM', 'start': '11:57:54 AM', 'finish': '12:12:57 PM', 'wait': '0:00:00'}",,,
Patient 25,"{'arrival': '09:02:56 AM', 'start': '09:22:42 AM', 'finish': '09:29:46 AM', 'wait': '0:19:46.817898'}","{'arrival': '09:29:46 AM', 'start': '11:44:47 AM', 'finish': '11:58:51 AM', 'wait': '2:15:00.612669'}","{'arrival': '11:58:51 AM', 'start': '12:07:54 PM', 'finish': '12:17:57 PM', 'wait': '0:09:03.384062'}",,,"{'arrival': '12:17:57 PM', 'start': '12:17:57 PM', 'finish': '12:33:00 PM', 'wait': '0:00:00'}",,
Patient 26,"{'arrival': '09:06:56 AM', 'start': '09:29:46 AM', 'finish': '09:36:46 AM', 'wait': '0:22:50.623376'}","{'arrival': '09:36:46 AM', 'start': '11:58:51 AM', 'finish': '12:12:52 PM', 'wait': '2:22:04.594957'}","{'arrival': '12:12:52 PM', 'start': '12:17:57 PM', 'finish': '12:27:59 PM', 'wait': '0:05:04.919422'}",,"{'arrival': '12:27:59 PM', 'start': '12:27:59 PM', 'finish': '12:43:00 PM', 'wait': '0:00:00'}",,,
Patient 27,"{'arrival': '09:16:56 AM', 'start': '09:36:46 AM', 'finish': '09:43:47 AM', 'wait': '0:19:50.979986'}","{'arrival': '09:43:47 AM', 'start': '12:12:52 PM', 'finish': '12:26:55 PM', 'wait': '2:29:04.814369'}","{'arrival': '12:26:55 PM', 'start': '12:27:59 PM', 'finish': '12:38:00 PM', 'wait': '0:01:03.534577'}",,"{'arrival': '12:38:00 PM', 'start': '12:43:00 PM', 'finish': '12:58:02 PM', 'wait': '0:05:00.430004'}",,,
Patient 28,"{'arrival': '09:21:56 AM', 'start': '09:43:47 AM', 'finish': '09:50:51 AM', 'wait': '0:21:51.566413'}","{'arrival': '09:50:51 AM', 'start': '12:26:55 PM', 'finish': '12:40:57 PM', 'wait': '2:36:04.480480'}","{'arrival': '12:40:57 PM', 'start': '12:40:57 PM', 'finish': '12:50:59 PM', 'wait': '0:00:00'}",,"{'arrival': '12:50:59 PM', 'start': '12:58:02 PM', 'finish': '13:13:02 PM', 'wait': '0:07:03.145774'}",,,
Patient 29,"{'arrival': '09:45:56 AM', 'start': '09:50:51 AM', 'finish': '09:57:54 AM', 'wait': '0:04:55.379846'}","{'arrival': '13:26:12 PM', 'start': '15:01:20 PM', 'finish': '15:15:21 PM', 'wait': '1:35:08.057040'}","{'arrival': '12:55:01 PM', 'start': '12:55:01 PM', 'finish': '13:05:02 PM', 'wait': '0:00:00'}","{'arrival': '13:05:02 PM', 'start': '13:05:10 PM', 'finish': '13:26:12 PM', 'wait': '0:00:07.436853'}",,,,
Patient 31,"{'arrival': '10:08:56 AM', 'start': '10:08:56 AM', 'finish': '10:15:56 AM', 'wait': '0:00:00'}",,,,,,,
Patient 32,"{'arrival': '10:09:56 AM', 'start': '10:15:56 AM', 'finish': '10:23:01 AM', 'wait': '0:06:00.594434'}","{'arrival': '10:23:01 AM', 'start': '12:55:01 PM', 'finish': '13:09:05 PM', 'wait': '2:32:00.208400'}","{'arrival': '13:09:05 PM', 'start': '13:15:12 PM', 'finish': '13:25:16 PM', 'wait': '0:06:06.791622'}",,"{'arrival': '13:25:16 PM', 'start': '13:30:14 PM', 'finish': '13:45:17 PM', 'wait': '0:04:57.986469'}",,,
Patient 33,"{'arrival': '10:33:56 AM', 'start': '10:33:56 AM', 'finish': '10:40:56 AM', 'wait': '0:00:00'}","{'arrival': '10:40:56 AM', 'start': '13:23:10 PM', 'finish': '13:37:12 PM', 'wait': '2:42:13.761776'}","{'arrival': '13:37:12 PM', 'start': '13:37:12 PM', 'finish': '13:47:15 PM', 'wait': '0:00:00'}",,"{'arrival': '13:47:15 PM', 'start': '14:00:20 PM', 'finish': '14:15:25 PM', 'wait': '0:13:05.038870'}",,,
Patient 34,"{'arrival': '10:34:56 AM', 'start': '10:40:56 AM', 'finish': '10:47:57 AM', 'wait': '0:06:00.365751'}","{'arrival': '10:47:57 AM', 'start': '13:37:12 PM', 'finish': '13:51:14 PM', 'wait': '2:49:15.723832'}","{'arrival': '13:51:14 PM', 'start': '14:07:19 PM', 'finish': '14:17:21 PM', 'wait': '0:16:05.054037'}",,"{'arrival': '14:17:21 PM', 'start': '14:17:21 PM', 'finish': '14:32:22 PM', 'wait': '0:00:00'}",,,
Patient 35,"{'arrival': '10:40:56 AM', 'start': '10:47:57 AM', 'finish': '10:55:01 AM', 'wait': '0:07:01.174640'}",,,,,,,
Patient 38,"{'arrival': '11:27:56 AM', 'start': '11:27:56 AM', 'finish': '11:34:56 AM', 'wait': '0:00:00'}","{'arrival': '11:34:56 AM', 'start': '13:51:14 PM', 'finish': '14:05:14 PM', 'wait': '2:16:18.319982'}",,,,,,
Patient 40,"{'arrival': '12:25:54 PM', 'start': '12:25:54 PM', 'finish': '12:32:55 PM', 'wait': '0:00:00'}","{'arrival': '15:42:28 PM', 'start': '16:25:32 PM', 'finish': '16:39:36 PM', 'wait': '0:43:03.329772'}","{'arrival': '16:39:36 PM', 'start': '16:55:39 PM', 'finish': '17:05:43 PM', 'wait': '0:16:03.104336'}","{'arrival': '14:47:30 PM', 'start': '15:21:28 PM', 'finish': '15:42:28 PM', 'wait': '0:33:57.774353'}","{'arrival': '17:05:43 PM', 'start': '17:10:40 PM', 'finish': '17:25:44 PM', 'wait': '0:04:56.809155'}",,,
Patient 41,"{'arrival': '12:47:53 PM', 'start': '12:47:53 PM', 'finish': '12:54:55 PM', 'wait': '0:00:00'}","{'arrival': '12:54:55 PM', 'start': '14:33:15 PM', 'finish': '14:47:17 PM', 'wait': '1:38:20.308011'}",,,,,,
Patient 42,"{'arrival': '13:05:53 PM', 'start': '13:05:53 PM', 'finish': '13:12:56 PM', 'wait': '0:00:00'}","{'arrival': '13:12:56 PM', 'start': '14:47:17 PM', 'finish': '15:01:20 PM', 'wait': '1:34:21.796526'}","{'arrival': '15:01:20 PM', 'start': '15:17:37 PM', 'finish': '15:27:38 PM', 'wait': '0:16:16.420841'}",,"{'arrival': '15:27:38 PM', 'start': '15:32:42 PM', 'finish': '15:47:45 PM', 'wait': '0:05:03.675210'}",,,
Patient 43,"{'arrival': '13:27:53 PM', 'start': '13:27:53 PM', 'finish': '13:34:54 PM', 'wait': '0:00:00'}",,,,,,,
Patient 46,"{'arrival': '13:55:52 PM', 'start': '13:55:52 PM', 'finish': '14:02:53 PM', 'wait': '0:00:00'}","{'arrival': '14:02:53 PM', 'start': '15:15:21 PM', 'finish': '15:29:23 PM', 'wait': '1:12:27.742550'}","{'arrival': '15:29:23 PM', 'start': '15:29:23 PM', 'finish': '15:39:27 PM', 'wait': '0:00:00'}",,,"{'arrival': '15:39:27 PM', 'start': '15:39:27 PM', 'finish': '15:54:27 PM', 'wait': '0:00:00'}",,
Patient 49,"{'arrival': '14:27:50 PM', 'start': '14:27:50 PM', 'finish': '14:34:54 PM', 'wait': '0:00:00'}","{'arrival': '17:11:55 PM', 'start': '17:35:49 PM', 'finish': '17:49:53 PM', 'wait': '0:23:53.788866'}","{'arrival': '17:49:53 PM', 'start': '17:55:52 PM', 'finish': '18:05:56 PM', 'wait': '0:05:59.092385'}","{'arrival': '15:59:32 PM', 'start': '16:50:53 PM', 'finish': '17:11:55 PM', 'wait': '0:51:21.465827'}","{'arrival': '18:05:56 PM', 'start': '18:25:59 PM', 'finish': '18:41:01 PM', 'wait': '0:20:03.907153'}",,,
Patient 51,"{'arrival': '14:57:49 PM', 'start': '14:57:49 PM', 'finish': '15:04:53 PM', 'wait': '0:00:00'}","{'arrival': '15:04:53 PM', 'start': '15:43:25 PM', 'finish': '15:57:25 PM', 'wait': '0:38:31.535710'}","{'arrival': '15:57:25 PM', 'start': '15:59:32 PM', 'finish': '16:09:33 PM', 'wait': '0:02:07.015848'}",,,,"{'arrival': '16:09:33 PM', 'start': '16:09:33 PM', 'finish': '16:20:37 PM', 'wait': '0:00:00'}",
Patient 52,"{'arrival': '15:05:48 PM', 'start': '15:05:48 PM', 'finish': '15:12:50 PM', 'wait': '0:00:00'}","{'arrival': '15:12:50 PM', 'start': '15:57:25 PM', 'finish': '16:11:30 PM', 'wait': '0:44:34.687443'}","{'arrival': '16:11:30 PM', 'start': '16:11:30 PM', 'finish': '16:21:33 PM', 'wait': '0:00:00'}",,"{'arrival': '16:21:33 PM', 'start': '16:21:33 PM', 'finish': '16:36:35 PM', 'wait': '0:00:00'}",,,
Patient 53,"{'arrival': '15:27:48 PM', 'start': '15:27:48 PM', 'finish': '15:34:48 PM', 'wait': '0:00:00'}","{'arrival': '15:34:48 PM', 'start': '16:11:30 PM', 'finish': '16:25:32 PM', 'wait': '0:36:42.129527'}","{'arrival': '16:25:32 PM', 'start': '16:25:32 PM', 'finish': '16:35:34 PM', 'wait': '0:00:00'}",,"{'arrival': '16:35:34 PM', 'start': '16:36:35 PM', 'finish': '16:51:37 PM', 'wait': '0:01:01.403956'}","{'arrival': '16:51:37 PM', 'start': '16:51:37 PM', 'finish': '17:06:39 PM', 'wait': '0:00:00'}",,
Patient 57,"{'arrival': '16:14:47 PM', 'start': '16:14:47 PM', 'finish': '16:21:48 PM', 'wait': '0:00:00'}","{'arrival': '16:21:48 PM', 'start': '16:39:36 PM', 'finish': '16:53:39 PM', 'wait': '0:17:47.874316'}","{'arrival': '17:43:44 PM', 'start': '17:45:50 PM', 'finish': '17:55:52 PM', 'wait': '0:02:05.784216'}",,"{'arrival': '17:55:52 PM', 'start': '18:10:55 PM', 'finish': '18:25:59 PM', 'wait': '0:15:02.333178'}",,,"{'arrival': '17:15:43 PM', 'start': '17:15:43 PM', 'finish': '17:43:44 PM', 'wait': '0:00:00'}"
Patient 59,"{'arrival': '16:27:46 PM', 'start': '16:27:46 PM', 'finish': '16:34:47 PM', 'wait': '0:00:00'}","{'arrival': '16:34:47 PM', 'start': '16:53:39 PM', 'finish': '17:07:41 PM', 'wait': '0:18:51.436534'}","{'arrival': '17:07:41 PM', 'start': '17:15:43 PM', 'finish': '17:25:45 PM', 'wait': '0:08:02.009483'}",,"{'arrival': '17:25:45 PM', 'start': '17:25:45 PM', 'finish': '17:40:50 PM', 'wait': '0:00:00'}",,,
Patient 60,"{'arrival': '16:27:46 PM', 'start': '16:34:47 PM', 'finish': '16:41:50 PM', 'wait': '0:07:01.665867'}","{'arrival': '16:41:50 PM', 'start': '17:07:41 PM', 'finish': '17:21:46 PM', 'wait': '0:25:51.191970'}","{'arrival': '17:21:46 PM', 'start': '17:25:45 PM', 'finish': '17:35:49 PM', 'wait': '0:03:59.254011'}",,"{'arrival': '17:35:49 PM', 'start': '17:40:50 PM', 'finish': '17:55:54 PM', 'wait': '0:05:01.433784'}",,,
Patient 61,"{'arrival': '16:59:45 PM', 'start': '16:59:45 PM', 'finish': '17:06:46 PM', 'wait': '0:00:00'}","{'arrival': '17:06:46 PM', 'start': '17:21:46 PM', 'finish': '17:35:49 PM', 'wait': '0:15:00.259593'}","{'arrival': '17:35:49 PM', 'start': '17:35:49 PM', 'finish': '17:45:50 PM', 'wait': '0:00:00'}",,"{'arrival': '17:45:50 PM', 'start': '17:55:54 PM', 'finish': '18:10:55 PM', 'wait': '0:10:04.323322'}",,,
Patient 62,"{'arrival': '17:07:45 PM', 'start': '17:07:45 PM', 'finish': '17:14:49 PM', 'wait': '0:00:00'}","{'arrival': '17:14:49 PM', 'start': '17:49:53 PM', 'finish': '18:03:54 PM', 'wait': '0:35:04.775013'}","{'arrival': '18:03:54 PM', 'start': '18:05:56 PM', 'finish': '18:16:00 PM', 'wait': '0:02:01.097363'}",,"{'arrival': '18:16:00 PM', 'start': '18:41:01 PM', 'finish': '18:56:04 PM', 'wait': '0:25:01.825802'}",,,
Patient 64,"{'arrival': '17:27:45 PM', 'start': '17:27:45 PM', 'finish': '17:34:49 PM', 'wait': '0:00:00'}","{'arrival': '17:34:49 PM', 'start': '18:03:54 PM', 'finish': '18:17:58 PM', 'wait': '0:29:04.944366'}",,,,,,
Patient 65,"{'arrival': '17:37:45 PM', 'start': '17:37:45 PM', 'finish': '17:44:45 PM', 'wait': '0:00:00'}","{'arrival': '17:44:45 PM', 'start': '18:17:58 PM', 'finish': '18:32:01 PM', 'wait': '0:33:13.389373'}","{'arrival': '18:32:01 PM', 'start': '18:32:01 PM', 'finish': '18:42:03 PM', 'wait': '0:00:00'}",,,,"{'arrival': '18:42:03 PM', 'start': '18:42:03 PM', 'finish': '18:53:07 PM', 'wait': '0:00:00'}",
Patient 8,,,"{'arrival': '07:36:59 AM', 'start': '07:36:59 AM', 'finish': '07:46:59 AM', 'wait': '0:00:00'}",,,,,"{'arrival': '07:46:59 AM', 'start': '08:28:04 AM', 'finish': '08:56:06 AM', 'wait': '0:41:04.433334'}"
Patient 9,,,"{'arrival': '07:37:59 AM', 'start': '07:46:59 AM', 'finish': '07:57:02 AM', 'wait': '0:09:00.844961'}",,,,,"{'arrival': '07:57:02 AM', 'start': '08:00:02 AM', 'finish': '08:28:04 AM', 'wait': '0:03:00'}"
Patient 10,,,"{'arrival': '07:39:59 AM', 'start': '07:57:02 AM', 'finish': '08:07:04 AM', 'wait': '0:17:03.821939'}",,,,,"{'arrival': '08:07:04 AM', 'start': '08:56:06 AM', 'finish': '09:24:10 AM', 'wait': '0:49:02.698365'}"
Patient 17,,,"{'arrival': '08:43:03 AM', 'start': '09:07:15 AM', 'finish': '09:17:15 AM', 'wait': '0:24:11.778548'}","{'arrival': '08:17:09 AM', 'start': '08:22:00 AM', 'finish': '08:43:03 AM', 'wait': '0:04:51.041972'}","{'arrival': '09:17:15 AM', 'start': '09:27:20 AM', 'finish': '09:42:24 AM', 'wait': '0:10:04.975081'}","{'arrival': '09:42:24 AM', 'start': '09:42:24 AM', 'finish': '09:57:28 AM', 'wait': '0:00:00'}",,
Patient 19,,,"{'arrival': '08:04:57 AM', 'start': '08:17:09 AM', 'finish': '08:27:09 AM', 'wait': '0:12:12.010471'}",,,,,"{'arrival': '08:27:09 AM', 'start': '09:24:10 AM', 'finish': '09:52:13 AM', 'wait': '0:57:01.144011'}"
Patient 21,,,"{'arrival': '08:16:57 AM', 'start': '08:37:13 AM', 'finish': '08:47:15 AM', 'wait': '0:20:16.883373'}",,,,,"{'arrival': '08:47:15 AM', 'start': '09:52:13 AM', 'finish': '10:20:15 AM', 'wait': '1:04:58.786777'}"
Patient 24,,,"{'arrival': '08:55:56 AM', 'start': '09:17:15 AM', 'finish': '09:27:15 AM', 'wait': '0:21:19.576953'}","{'arrival': '09:27:15 AM', 'start': '09:27:15 AM', 'finish': '09:48:19 AM', 'wait': '0:00:00'}",,,,
Patient 30,,,"{'arrival': '09:56:56 AM', 'start': '10:17:32 AM', 'finish': '10:27:32 AM', 'wait': '0:20:36.801841'}",,,,,"{'arrival': '10:27:32 AM', 'start': '10:27:32 AM', 'finish': '10:55:34 AM', 'wait': '0:00:00'}"
Patient 36,,,"{'arrival': '11:07:56 AM', 'start': '11:17:43 AM', 'finish': '11:27:47 AM', 'wait': '0:09:47.540034'}","{'arrival': '11:27:47 AM', 'start': '11:40:57 AM', 'finish': '12:01:58 PM', 'wait': '0:13:10.121886'}",,,,
Patient 39,,,"{'arrival': '13:05:10 PM', 'start': '13:05:10 PM', 'finish': '13:15:12 PM', 'wait': '0:00:00'}","{'arrival': '12:07:54 PM', 'start': '12:44:06 PM', 'finish': '13:05:10 PM', 'wait': '0:36:11.217319'}","{'arrival': '13:15:12 PM', 'start': '13:15:12 PM', 'finish': '13:30:14 PM', 'wait': '0:00:00'}",,,
Patient 44,,,"{'arrival': '14:18:21 PM', 'start': '14:27:23 PM', 'finish': '14:37:27 PM', 'wait': '0:09:01.915406'}","{'arrival': '13:57:17 PM', 'start': '13:57:17 PM', 'finish': '14:18:21 PM', 'wait': '0:00:00'}","{'arrival': '14:37:27 PM', 'start': '14:37:27 PM', 'finish': '14:52:29 PM', 'wait': '0:00:00'}",,,
Patient 45,,,"{'arrival': '14:39:23 PM', 'start': '15:07:35 PM', 'finish': '15:17:37 PM', 'wait': '0:28:11.922255'}","{'arrival': '14:07:19 PM', 'start': '14:18:21 PM', 'finish': '14:39:23 PM', 'wait': '0:11:02.088111'}","{'arrival': '15:17:37 PM', 'start': '15:17:37 PM', 'finish': '15:32:42 PM', 'wait': '0:00:00'}",,,
Patient 47,,,"{'arrival': '14:07:52 PM', 'start': '14:17:21 PM', 'finish': '14:27:23 PM', 'wait': '0:09:29.838015'}","{'arrival': '14:27:23 PM', 'start': '15:00:25 PM', 'finish': '15:21:28 PM', 'wait': '0:33:02.444498'}",,,,
Patient 50,,,"{'arrival': '14:37:50 PM', 'start': '14:57:34 PM', 'finish': '15:07:35 PM', 'wait': '0:19:44.360121'}",,,,,"{'arrival': '15:07:35 PM', 'start': '15:07:35 PM', 'finish': '15:35:38 PM', 'wait': '0:00:00'}"
Patient 54,,,"{'arrival': '16:29:49 PM', 'start': '16:45:36 PM', 'finish': '16:55:39 PM', 'wait': '0:15:47.688316'}","{'arrival': '15:49:27 PM', 'start': '16:08:48 PM', 'finish': '16:29:49 PM', 'wait': '0:19:20.687961'}","{'arrival': '16:55:39 PM', 'start': '16:55:39 PM', 'finish': '17:10:40 PM', 'wait': '0:00:00'}",,,
Patient 58,,,"{'arrival': '16:25:47 PM', 'start': '16:35:34 PM', 'finish': '16:45:36 PM', 'wait': '0:09:47.115314'}","{'arrival': '16:45:36 PM', 'start': '17:11:55 PM', 'finish': '17:33:00 PM', 'wait': '0:26:18.862955'}",,,,
Patient 12,,,,"{'arrival': '07:42:59 AM', 'start': '08:00:59 AM', 'finish': '08:22:00 AM', 'wait': '0:18:00'}",,,,
Patient 23,,,,"{'arrival': '08:49:56 AM', 'start': '09:04:07 AM', 'finish': '09:25:11 AM', 'wait': '0:14:11.177428'}",,,,
Patient 37,,,,"{'arrival': '11:19:56 AM', 'start': '11:19:56 AM', 'finish': '11:40:57 AM', 'wait': '0:00:00'}",,,,
Patient 48,,,,"{'arrival': '14:19:51 PM', 'start': '14:39:23 PM', 'finish': '15:00:25 PM', 'wait': '0:19:32.200797'}",,,,
Patient 55,,,,"{'arrival': '15:47:47 PM', 'start': '15:47:47 PM', 'finish': '16:08:48 PM', 'wait': '0:00:00'}",,,,
Patient 56,,,,"{'arrival': '15:57:47 PM', 'start': '16:29:49 PM', 'finish': '16:50:53 PM', 'wait': '0:32:02.252632'}",,,,
Patient 63,,,,"{'arrival': '17:27:45 PM', 'start': '17:33:00 PM', 'finish': '17:54:01 PM', 'wait': '0:05:15.397426'}",,,,
Patient 66,,,,"{'arrival': '17:37:45 PM', 'start': '17:54:01 PM', 'finish': '18:15:04 PM', 'wait': '0:16:16.786578'}",,,,
